,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
451,Pintarelli Mat,Rally4,5,Prealpi,10/12/2023,gravel,-,49,366.7,354.4,316.7,50.0,12.300000000000011,3.4706546275395067,05
452,Rossetto Osvy ,Rally4,5,Prealpi,10/12/2023,gravel,-,52,367.7,354.4,316.7,51.0,13.300000000000011,3.7528216704288972,05
453,Callegaro Ricc,Rally4,5,Prealpi,10/12/2023,gravel,-,54,368.9,354.4,316.7,52.19999999999999,14.5,4.091422121896163,05
454,Lovisetto Gian,Rally4,5,Prealpi,10/12/2023,gravel,-,56,369.2,354.4,316.7,52.5,14.800000000000011,4.176072234762984,05
455,Stevanato Elia,Rally4,5,Prealpi,10/12/2023,gravel,-,60,372.4,354.4,316.7,55.69999999999999,18.0,5.07900677200903,05
456,Mazzonelli A. ,Rally4,5,Prealpi,10/12/2023,gravel,-,61,372.9,354.4,316.7,56.19999999999999,18.5,5.220090293453724,05
457,Roncadori Stef,Rally4,5,Prealpi,10/12/2023,gravel,-,63,374.8,354.4,316.7,58.10000000000002,20.400000000000034,5.756207674943576,05
458,Strabello Paol,Rally4,5,Prealpi,10/12/2023,gravel,-,64,376.6,354.4,316.7,59.900000000000034,22.200000000000045,6.264108352144484,05
459,Moretto Federi,Rally4,5,Prealpi,10/12/2023,gravel,-,65,376.6,354.4,316.7,59.900000000000034,22.200000000000045,6.264108352144484,05
460,Foffano Cristi,Rally4,5,Prealpi,10/12/2023,gravel,-,72,381.3,354.4,316.7,64.60000000000002,26.900000000000034,7.590293453724615,05
461,Gabrici Fabio ,Rally4,5,Prealpi,10/12/2023,gravel,-,78,392.3,354.4,316.7,75.60000000000002,37.900000000000034,10.694130925507912,05
462,De Sanctis F. ,Rally4,5,Prealpi,10/12/2023,gravel,-,90,427.9,354.4,316.7,111.19999999999999,73.5,20.739277652370205,05
463,Spagnol Jason ,Rally4/R2,5,Prealpi,10/12/2023,gravel,-,36,359.7,359.7,316.7,43.0,0.0,0.0,05
464,Cappellati Rud,Rally4/R2,5,Prealpi,10/12/2023,gravel,-,37,360.8,359.7,316.7,44.10000000000002,1.1000000000000227,0.30581039755352313,05
465,Possamai Alex ,Rally4/R2,5,Prealpi,10/12/2023,gravel,-,39,362.1,359.7,316.7,45.400000000000034,2.400000000000034,0.6672226855713189,05
